,flight_id,airline
0,prc770822360,KLM
1,prc770831136,CES
2,prc770835414,CES
3,prc770844923,CSH
4,prc770847190,CSH
5,prc770852254,AVA
6,prc770853645,DAL
7,prc770859206,IBE
8,prc770860078,QFA
9,prc770864956,KLM
10,prc770866486,DHK
11,prc770867379,DAL
12,prc770868424,CES
13,prc770870642,ITY
14,prc770872129,ITY
15,prc770875579,AVA
16,prc770876146,GTI
17,prc770876159,AVA
18,prc770876744,VIV
19,prc770878608,TPA
20,prc770879349,DAL
21,prc770881363,AVA
22,prc770882585,DAL
23,prc770882767,JBU
24,prc770885136,ASA
25,prc770887177,AVA
26,prc770887278,AAL
27,prc770887555,VOI
28,prc770887933,BEL
29,prc770888915,JBU
30,prc770893597,AVA
31,prc770894018,KLM
32,prc770896208,SWA
33,prc770897620,OMS
34,prc770900396,AEA
35,prc770900987,AVA
36,prc770904659,DAL
37,prc770905008,TAI
38,prc770906482,AVA
39,prc770907139,JBU
40,prc770909580,KLM
41,prc770909644,AAL
42,prc770912173,AVA
43,prc770912944,JBU
44,prc770914339,DAL
45,prc770917945,AIC
46,prc770919451,JBU
47,prc770919850,DAL
48,prc770920259,AEA
49,prc770921072,VOI
50,prc770923915,AVA
51,prc770924975,KLM
52,prc770925999,VOI
53,prc770926451,AVA
54,prc770927463,FJI
55,prc770928445,KLM
56,prc770930246,AVA
57,prc770930894,DAL
58,prc770931743,QFA
59,prc770933851,TPA
60,prc770935926,VIV
61,prc770937421,AVA
62,prc770941712,VOI
63,prc770942277,PGT
64,prc770942683,HVN
65,prc770942693,CSZ
66,prc770942858,AVA
67,prc770943886,KZR
68,prc770943924,MSR
69,prc770944148,PGT
70,prc770944301,DAL
71,prc770945308,AVA
72,prc770947707,FJI
73,prc770947856,AVA
74,prc770950776,RJA
75,prc770950899,RJA
76,prc770951045,DHK
77,prc770953140,AVA
78,prc770953384,ITY
79,prc770953702,DAL
80,prc770953859,AVA
81,prc770955159,VOI
82,prc770956688,EVA
83,prc770957917,UAL
84,prc770959679,DHK
85,prc770962194,PGT
86,prc770962946,CES
87,prc770963554,PGT
88,prc770963917,CES
89,prc770966206,CES
90,prc770966330,JBU
91,prc770967318,UAL
92,prc770968743,JBU
93,prc770969316,KLM
94,prc770969478,NKS
95,prc770969598,SWA
96,prc770970538,CAL
97,prc770971713,FJI
98,prc770973164,JBU
99,prc770973607,KLM
100,prc770976141,CES
101,prc770977169,VOI
102,prc770980691,KLM
103,prc770983731,TKJ
104,prc770985259,JBU
105,prc770985437,KLM
106,prc770985618,UAE
107,prc770989234,VOI
108,prc770990360,AVA
109,prc770990764,VOI
110,prc770992968,KLM
111,prc770993004,PGT
112,prc770995050,SWA
113,prc770995178,AVA
114,prc770997482,CSH
115,prc770997879,CES
116,prc770998980,AAL
117,prc771003478,ITY
118,prc771005089,AVA
119,prc771009500,VOI
120,prc771010297,JBU
121,prc771013263,JBU
122,prc771013334,DAL
123,prc771016712,AVA
124,prc771016911,PGT
125,prc771018037,PGT
126,prc771018929,KLM
127,prc771022345,KLM
128,prc771027409,AAL
129,prc771027641,AVA
130,prc771029161,TPA
131,prc771031306,AVA
132,prc771033785,AVA
133,prc771034896,JBU
134,prc771035932,JBU
135,prc771035947,ITY
136,prc771036147,VOI
137,prc771036608,TKJ
138,prc771036935,AAL
139,prc771037065,CAL
140,prc771038008,DHK
141,prc771038694,VOI
142,prc771042962,ITY
143,prc771043414,DAL
144,prc771045399,MSR
145,prc771047045,CES
146,prc771047904,JBU
147,prc771048393,CSH
148,prc771051825,DAL
149,prc771052482,NKS
150,prc771052521,CES
151,prc771053028,MSR
152,prc771057778,DAL
153,prc771058580,VOI
154,prc771059362,VOI
155,prc771061260,NKS
156,prc771063996,DHK
157,prc771064563,SWA
158,prc771065620,JBU
159,prc771067762,JBU
160,prc771070966,AVA
161,prc771072994,NKS
162,prc771076870,KLM
163,prc771078507,ANZ
164,prc771084019,VOI
165,prc771087032,JBU
166,prc771089598,AVA
167,prc771089960,ITY
168,prc771090544,UAE
169,prc771091788,JBU
170,prc771092129,CSZ
171,prc771092780,AVA
172,prc771093179,VOI
173,prc771093816,AVA
174,prc771093885,AVA
175,prc771094405,NKS
176,prc771094500,AVA
177,prc771097473,VOI
178,prc771097931,AVA
179,prc771098326,AAL
180,prc771098451,JBU
181,prc771099407,BAW
182,prc771100311,VOI
183,prc771104897,AVA
184,prc771105060,JBU
185,prc771105411,JBU
186,prc771106388,JBU
187,prc771109453,GFA
188,prc771109674,VOI
189,prc771110105,JBU
190,prc771116032,AVA
191,prc771117213,IBE
192,prc771113477,DAL
193,prc771117078,DAL
194,prc771118541,VOI
195,prc771119914,DAL
196,prc771121915,DAL
197,prc771122451,DAL
198,prc771124971,SWA
199,prc771126284,DAL
200,prc771126601,JBU
201,prc771127708,AEA
202,prc771128491,AVA
203,prc771132120,AIC
204,prc771132627,VOI
205,prc771132960,AAL
206,prc771133635,AVA
207,prc771134102,VOI
208,prc771134381,KLM
209,prc771134847,XLR
210,prc771135778,VOI
211,prc771136028,DAL
212,prc771136182,LAN
213,prc771137095,UAL
214,prc771138004,DAL
215,prc771139019,AVA
216,prc771142071,AEA
217,prc771143494,DAL
218,prc771144175,VOI
219,prc771145873,SWA
220,prc771147354,VIV
221,prc771148633,KLM
222,prc771150712,AVA
223,prc771152811,QFA
224,prc771153448,AVA
225,prc771153894,KLM
226,prc771161193,AVA
227,prc771163497,VOI
228,prc771164493,UAL
229,prc771166305,AVA
230,prc771167517,PGT
231,prc771167835,VIV
232,prc771169145,PGT
233,prc771170454,PGT
234,prc771171432,GTI
235,prc771171590,VOI
236,prc771171884,FJI
237,prc771174828,AVA
238,prc771180356,AVA
239,prc771186930,DAL
240,prc771188337,AVA
241,prc771189043,CES
242,prc771190052,JBU
243,prc771191805,NKS
244,prc771192161,JBU
245,prc771192712,NKS
246,prc771192758,CES
247,prc771197706,FFT
248,prc771198945,JBU
249,prc771199079,AVA
250,prc771201920,FJI
251,prc771206273,DAL
252,prc771209228,PGT
253,prc771209844,KLM
254,prc771210519,PGT
255,prc771211515,UAE
256,prc771213724,VOI
257,prc771214590,KLM
258,prc771214999,AXM
259,prc771215177,IBE
260,prc771215930,PGT
261,prc771218528,XAX
262,prc771219094,AVA
263,prc771219136,AVA
264,prc771219177,VOI
265,prc771223864,VOI
266,prc771224760,SWA
267,prc771225359,AVA
268,prc771228463,CES
269,prc771229243,DAL
270,prc771231012,ITY
271,prc771233461,DAL
272,prc771238615,JBU
273,prc771241241,NKS
274,prc771243055,JBU
275,prc771247977,VOI
276,prc771249571,KLM
277,prc771249934,VOI
278,prc771259842,ROT
279,prc771261089,VOI
280,prc771264802,AVA
281,prc771265910,DAL
282,prc771270900,VIV
283,prc771271401,KLM
284,prc771271404,CAL
285,prc771274086,AAR
286,prc771275741,PGT
287,prc771277179,AAL
288,prc771278756,CES
289,prc771279486,DAL
290,prc771282320,TPA
291,prc771282480,CES
292,prc771288295,JBU
293,prc771289461,VOI
294,prc771289513,DAL
295,prc771292808,VOI
296,prc771294385,UAL
297,prc771297721,CSH
298,prc771298915,JBU
299,prc771299893,VOI
300,prc771299986,NKS
301,prc771302496,JBU
302,prc771303326,AVA
303,prc771306550,NKS
304,prc771312865,TKJ
305,prc771317368,DAL
306,prc771323575,DAL
307,prc771324037,SWA
308,prc771324043,DAL
309,prc771324361,VOI
310,prc771324742,AVA
311,prc771325000,VIV
