iter	RMSE
0	826.7911611
1	771.6280789
2	722.2228483
3	677.3530674
4	638.0426043
5	602.1622298
6	570.156771
7	542.407744
8	517.0367646
9	494.9263759
10	475.5439378
11	458.5145785
12	444.0289674
13	430.9578905
14	419.6249853
15	409.7311818
16	401.6461142
17	394.2318343
18	385.3186121
19	377.4653276
20	370.7192281
21	364.4989022
22	359.427275
23	354.7817349
24	350.6972009
25	347.2316403
26	344.1848558
27	341.3829678
28	339.2821421
29	337.1958974
30	335.5359734
31	334.0489451
32	332.7004156
33	331.3761767
34	330.2887162
35	329.2216794
36	328.2970204
37	327.5909472
38	326.8850787
39	326.3132883
40	325.7423364
41	325.1761617
42	324.7568184
43	324.402281
44	323.9448412
45	323.6301357
46	323.2649734
47	323.0124474
48	322.6959263
49	322.4051275
50	322.1802815
51	321.8023116
52	321.6455046
53	321.3993358
54	321.1421998
55	320.7549747
56	320.5601731
57	320.2572172
58	320.1166718
59	319.854038
60	319.7398545
61	319.4930493
62	318.7560352
63	318.6072604
64	318.5243616
65	318.1847722
66	318.1061263
67	317.8869976
68	317.8188289
69	317.69367
70	317.6331934
71	317.5704977
72	317.4263178
73	317.2067271
74	317.1431592
75	317.0847311
76	316.7637565
77	316.3837308
78	316.2036666
79	315.6198873
80	315.5543228
81	315.4599759
82	315.4164426
83	314.9226837
84	314.7439332
85	314.5817303
86	314.5435328
87	314.4297008
88	314.3186096
89	314.1814102
90	313.9146289
91	313.7777884
92	313.4413767
93	313.3768196
94	313.3440192
95	313.2599266
96	313.1963572
97	313.168566
98	313.016576
99	312.9486058
100	312.7367501
101	312.7022944
102	312.588324
103	312.481537
104	312.3393874
105	312.0655846
106	311.9488509
107	311.9286307
108	311.9120182
109	311.8384472
110	311.6660067
111	311.6443407
112	311.5106789
113	311.4815548
114	311.3744249
115	311.2768977
116	311.2230842
117	311.175259
118	311.1490691
119	311.0481816
120	311.0077887
121	310.9415042
122	310.8066658
123	310.7801612
124	310.6940674
125	310.6732355
126	310.3197827
127	310.2698367
128	310.2440403
