iter	Passed	Remaining
0	25	14470
1	35	9810
2	43	8116
3	62	8654
4	73	8150
5	91	8437
6	114	9065
7	131	9075
8	143	8792
9	154	8521
10	165	8268
11	172	7922
12	178	7526
13	185	7246
14	194	7097
15	205	7003
16	209	6729
17	216	6541
18	223	6401
19	229	6224
20	236	6085
21	240	5904
22	245	5752
23	249	5598
24	255	5485
25	259	5358
26	265	5265
27	270	5150
28	274	5052
29	279	4962
30	284	4871
31	289	4796
32	294	4723
33	299	4650
34	305	4592
35	308	4511
36	315	4470
37	320	4421
38	326	4372
39	331	4331
40	336	4275
41	339	4206
42	344	4158
43	348	4107
44	353	4062
45	358	4021
46	363	3983
47	368	3948
48	374	3916
49	379	3890
50	384	3855
51	391	3836
52	397	3817
53	403	3792
54	408	3761
55	413	3738
56	420	3729
57	429	3732
58	437	3730
59	442	3699
60	448	3682
61	456	3684
62	461	3656
63	467	3634
64	472	3609
65	476	3581
66	481	3556
67	487	3543
68	491	3509
69	495	3484
70	499	3454
71	502	3422
72	507	3397
73	512	3379
74	516	3357
75	522	3340
76	527	3319
77	531	3299
78	536	3277
79	539	3249
80	544	3234
81	551	3228
82	559	3228
83	566	3224
84	573	3220
85	578	3203
86	585	3196
87	590	3181
88	599	3188
89	604	3168
90	607	3143
91	613	3135
92	619	3125
93	626	3120
94	633	3113
95	638	3101
96	643	3085
97	647	3064
98	653	3056
99	659	3045
100	663	3029
101	670	3024
102	675	3010
103	679	2990
104	687	2991
105	691	2973
106	698	2968
107	703	2955
108	708	2945
109	712	2928
110	718	2918
111	721	2900
112	729	2897
113	735	2890
114	740	2878
115	745	2867
116	750	2853
117	755	2841
118	760	2831
119	764	2816
120	768	2801
121	774	2791
122	778	2780
123	784	2769
124	789	2761
125	796	2754
126	801	2744
127	805	2730
128	809	2716
129	813	2702
130	819	2696
131	824	2684
132	829	2676
133	835	2668
134	839	2654
135	843	2640
136	847	2627
137	851	2616
138	855	2603
139	861	2597
140	865	2585
141	869	2571
142	875	2564
143	881	2558
144	886	2550
145	892	2541
146	895	2529
147	900	2519
148	905	2509
149	909	2497
150	918	2501
151	925	2496
152	933	2494
153	937	2484
154	942	2474
155	946	2463
156	950	2452
157	954	2439
158	957	2427
159	962	2418
160	965	2405
161	969	2394
162	975	2387
163	981	2381
164	984	2369
165	991	2365
166	998	2362
167	1005	2357
168	1012	2354
169	1019	2351
170	1031	2358
171	1041	2362
172	1050	2362
173	1058	2360
174	1064	2354
175	1070	2348
176	1080	2350
177	1086	2344
178	1093	2338
179	1098	2332
180	1105	2326
181	1110	2319
182	1115	2311
183	1125	2312
184	1130	2304
185	1135	2294
186	1143	2293
187	1149	2287
188	1155	2279
189	1162	2275
190	1167	2268
191	1177	2268
192	1185	2265
193	1192	2262
194	1198	2256
195	1203	2246
196	1210	2243
197	1215	2234
